SKU,price_today,date-1yr,price_1yr,price_change_1yr (%),date-2yr,price_2yr_ago,price_change_2yr (%),date-3yr,price_3yr_ago,price_change_3yr (%)
00-248021,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2018-09-11,0.99,353.54
00-919637,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2018-09-11,0.99,353.54
00-939579,3.99,2025-02-07,2.99,33.44,2024-01-11,3.99,0.0,2021-03-16,1.0,299.0
00-598502,1.49,2025-01-24,1.79,-16.76,2023-12-24,1.89,-21.16,2022-12-07,0.49,204.08
00-721404,2.99,2025-02-07,2.24,33.48,2024-01-15,1.79,67.04,2018-09-01,0.99,202.02
00-714610,3.19,2025-01-30,3.19,0.0,2024-02-01,2.12,50.47,2023-02-09,1.14,179.82
00-910979,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-04,1.79,150.84
00-438593,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-630447,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-672849,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
