SKU,price_today,date-1yr,price_1yr,price_change_1yr (%),date-2yr,price_2yr_ago,price_change_2yr (%),date-3yr,price_3yr_ago,price_change_3yr (%)
00-919637,4.49,2025-01-09,3.59,25.07,2023-12-24,1.15,290.43,2018-09-11,0.99,353.54
00-23220,12.99,2025-01-17,5.0,159.8,2024-01-19,4.49,189.31,2023-01-19,6.99,85.84
00-11738,12.99,2025-01-17,5.0,159.8,2024-01-19,4.49,189.31,2023-01-19,6.99,85.84
00-5044,12.99,2025-01-17,5.0,159.8,2024-01-19,4.49,189.31,,,
00-58139,5.49,2025-01-17,2.62,109.54,2024-01-19,2.17,153.0,2022-12-11,1.99,175.88
00-864945,7.79,2024-02-25,3.14,148.09,2023-11-12,3.14,148.09,2022-11-13,3.14,148.09
00-860436,2.19,2025-01-16,1.99,10.05,2024-01-18,0.89,146.07,2023-01-19,0.89,146.07
00-867912,2.19,2025-01-16,1.99,10.05,2024-01-18,0.89,146.07,2023-01-19,0.89,146.07
00-860434,2.19,2025-01-16,1.99,10.05,2024-01-18,0.89,146.07,2023-01-19,0.89,146.07
00-968216,28.99,2025-01-17,13.49,114.9,2024-01-19,11.99,141.78,2022-12-11,19.99,45.02
