SKU,price_today,date-1yr,price_1yr,price_change_1yr (%),date-2yr,price_2yr_ago,price_change_2yr (%),date-3yr,price_3yr_ago,price_change_3yr (%)
00-864945,7.79,2025-01-23,7.39,5.41,2023-11-12,3.14,148.09,2022-11-13,3.14,148.09
00-910979,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-04,1.79,150.84
00-438593,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-630447,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-248021,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2018-09-11,0.99,353.54
00-919637,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2018-09-11,0.99,353.54
00-672849,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-434854,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-412406,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
00-412405,4.49,2025-02-07,2.09,114.83,2024-02-01,1.89,137.57,2023-02-02,1.79,150.84
